[2020-04-20 23:33:18,375 line 38] all the categories inserted in category successfully
[2020-04-20 23:33:19,059 line 29] Belize: country already in db
[2020-04-20 23:33:19,061 line 29] Bermuda: country already in db
[2020-04-20 23:33:19,064 line 29] Bhutan: country already in db
[2020-04-20 23:33:19,067 line 29] Bolivia, Plurinational State Of: country already in db
[2020-04-20 23:33:19,069 line 29] Botswana: country already in db
[2020-04-20 23:33:19,072 line 29] Brazil: country already in db
[2020-04-20 23:33:19,075 line 29] Brunei Darussalam: country already in db
[2020-04-20 23:33:19,078 line 29] Bulgaria: country already in db
[2020-04-20 23:33:19,081 line 29] Burkina Faso: country already in db
[2020-04-20 23:33:19,084 line 29] Cambodia: country already in db
[2020-04-20 23:33:19,086 line 29] Canada: country already in db
[2020-04-20 23:33:19,090 line 29] Cape Verde: country already in db
[2020-04-20 23:33:19,094 line 29] Cayman Islands: country already in db
[2020-04-20 23:33:19,101 line 29] Chad: country already in db
[2020-04-20 23:33:19,104 line 29] Chile: country already in db
[2020-04-20 23:33:19,120 line 29] China: country already in db
[2020-04-20 23:33:19,130 line 29] Colombia: country already in db
[2020-04-20 23:33:19,134 line 29] Congo: country already in db
[2020-04-20 23:33:19,141 line 29] Costa Rica: country already in db
[2020-04-20 23:33:19,162 line 29] Croatia: country already in db
[2020-04-20 23:33:19,166 line 29] Cyprus: country already in db
[2020-04-20 23:33:19,170 line 29] Czech Republic: country already in db
[2020-04-20 23:33:19,174 line 29] Denmark: country already in db
[2020-04-20 23:33:19,178 line 29] Dominica: country already in db
[2020-04-20 23:33:19,183 line 29] Dominican Republic: country already in db
[2020-04-20 23:33:19,193 line 29] Ecuador: country already in db
[2020-04-20 23:33:19,198 line 29] Egypt: country already in db
[2020-04-20 23:33:19,208 line 29] El Salvador: country already in db
[2020-04-20 23:33:19,215 line 29] Estonia: country already in db
[2020-04-20 23:33:19,224 line 29] Fiji: country already in db
[2020-04-20 23:33:19,230 line 29] Finland: country already in db
[2020-04-20 23:33:19,235 line 29] France: country already in db
[2020-04-20 23:33:19,251 line 29] Gambia: country already in db
[2020-04-20 23:33:19,255 line 29] Germany: country already in db
[2020-04-20 23:33:19,259 line 29] Ghana: country already in db
[2020-04-20 23:33:19,266 line 29] Turkey: country already in db
[2020-04-20 23:33:19,270 line 29] Turkmenistan: country already in db
[2020-04-20 23:33:19,278 line 29] Greece: country already in db
[2020-04-20 23:33:19,281 line 29] Grenada: country already in db
[2020-04-20 23:33:19,286 line 29] Guatemala: country already in db
[2020-04-20 23:33:19,298 line 29] Guinea-Bissau: country already in db
[2020-04-20 23:33:19,301 line 29] Guyana: country already in db
[2020-04-20 23:33:19,303 line 29] Honduras: country already in db
[2020-04-20 23:33:19,306 line 29] Hong Kong: country already in db
[2020-04-20 23:33:19,312 line 29] Hungary: country already in db
[2020-04-20 23:33:19,320 line 29] Iceland: country already in db
[2020-04-20 23:33:19,328 line 29] India: country already in db
[2020-04-20 23:33:19,337 line 29] Indonesia: country already in db
[2020-04-20 23:33:19,340 line 29] Ireland: country already in db
[2020-04-20 23:33:19,346 line 29] Israel: country already in db
[2020-04-20 23:33:19,349 line 29] Italy: country already in db
[2020-04-20 23:33:19,355 line 29] Jamaica: country already in db
[2020-04-20 23:33:19,366 line 29] Japan: country already in db
[2020-04-20 23:33:19,370 line 29] Jordan: country already in db
[2020-04-20 23:33:19,375 line 29] Kazakhstan: country already in db
[2020-04-20 23:33:19,379 line 29] Kuwait: country already in db
[2020-04-20 23:33:19,383 line 29] Kyrgyzstan: country already in db
[2020-04-20 23:33:19,389 line 29] Latvia: country already in db
[2020-04-20 23:33:19,394 line 29] Lebanon: country already in db
[2020-04-20 23:33:19,404 line 29] Liberia: country already in db
